Id,Mus CPRCMUS No,Tattoo,CS_Tattoo,Sex,Coronal suture,Sagittal suture,Lamboidal suture,Humeral Head,Distal Humerus,Humerus Lateral Epicondyle,Humerus Medial Epicondyle,Proximal Radius,Distal Radius,Proximal Ulna,Distal Ulna,Femoral Head,Distal Femur,Proximal Tibia,Distal Tibia,Zy-Zy,Ba-Br,Eu-Eu,Gl-Op,Go-Co,Go-Go,Po-Go,Al-MxF suture midline,HL,HPML,HPAP,HDML,HDAP,RL,RPML,RPAP,RDML,RDAP,UL,FL,FHL,FHSI,FPAP,FPML,FDML,FDAP,TL,TPML,TPAP,TDML,TDAP,IICrest,Pel_height,HDia,RDia,UDia,FDia,TDia,Pterion_Right,Pterion_Left,BMD_Hum,BMD_Fem,MCode,Pedigree,EAAD
1298,"CPRCMUS-04209","20N","20N","F",3,2,3,1,3,3,3,3,1,"3","1",2,1,2,2,79.08,"52.08","63.03","84.92","32.67",40.57,65.65,46.34,"138.36","13.58","15.56","23.42","14.61","133.67","9.7","11.09","13.6","11.51","150.41","168.36","166.41","14","14.41","11.95","24.89","18.58","154.71","24.67","17.52","16.09","13.72",,"134.24","28","22","20","34","30","TF","TF","3998","3944","Q1056","06 Tier",4.64
1299,"CPRCMUS-04210","71E","71E","F",3,4,3,2,3,0,0,3,2,"3","2",3,2,3,3,81.56,"53.77","61.75","85.38","37.03",42.70,69.60,44.10,"137.38","15.63","15.81","22.81","14.11","135.52","9.88","10.79","14.15","11.3","149.05","163.13","Na","13.51","14.11","12","25.3","19.73","153.15","25.41","18.23","16.7","13.47",,"134.59","33","23","32","33","35","TF",,"4141","4207",,,8.14
1300,"CPRCMUS-04221","Z72","Z72","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,81.32,"52.13","61.83","79.82","46.74",53.14,69.16,51.24,"139.29","16.53","17.98","27.84","16.33","135.9","11.24","12.46","15.2","12.17","154.39","168.22","164.82","15.48","15.45","12.88","27.13","21.43","152.91","27.03","21.02","16.75","14",,"142.65","37","27","26","40","37","TF","TF","3863","3930","Q1083","06 Tier",13.27
1301,"CPRCMUS-04222","77H","77H","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,86.80,"53.11","63.29","85.81","41.93",53.68,71.22,56.81,"146.14","15.76","17.08","24.12","15.87","138.79","10.29","11.32","14.35","11.61","155.82","168.24","165.59","14.34","14.61","12.3","27.18","21.99","156.33","26.35","19.82","17.42","14.66",,"145.59","34","29","23","40","33","SP",,"4067","4127","Q1012","07 Tier",8.57
1303,"CPRCMUS-04231","27P","27P","F",3,3,3,1,3,3,3,3,2,"3","1",2,1,2,1,74.34,"55.48","58.45","81.28","39.23",51.58,64.38,45.06,"137.36","16.5","17.39","26.44","16.12","134.55","10.14","12.03","14.27","11.94","154.91","164.45","161.04","14.72","14.87","12.06","26.6","21.81","155.98","25.41","19.63","17.59","13.81",,"135.96","30","25","24","36","31","TF","TF","3812","3898","Q1083","05 Tier",4.43
1305,"CPRCMUS-04235","54C","54C","M",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,99.53,"59.66","64.37","91.84","33.63",48.59,76.31,54.45,"141.42","18.21","19.62","28.92","17.27","142.4","12.95","13.88","16.43","13.36","160.3","175.7","172","17.37","17.48","14.58","29.63","23.72","162.98","29.89","22.57","20.85","15.71",,"151.92","39","28","29","42","38",,"SP","4138","4192","Q1056","06 Tier",11.49
1306,"CPRCMUS-04236","52R","52R","F",3,2,2,1,3,3,2,1,1,"1","1",1,1,1,1,72.17,"49.89","60.65","78.43","30.1",44.77,56.00,42.55,"121.9","13.58","15.51","24.09","13.57","121.74","10.07","11.3","13.13","10.67","136.2","143.73",,"14.8","14.66","11.44","23.93","18.52","138.39","23.79","17.39","15.34","12.75",,"121.06","27","21","19","32","27","TF","TF","4073","3955","Q1056","07 Tier",3.67
1307,"CPRCMUS-04240","91R","91R","F",3,3,3,1,3,3,2,1,1,"1","1",1,1,1,1,67.85,"47.68","58.08","75.59","30.64",39.12,54.91,40.65,,,,,,"112.06","9.1","10.59","12.92","9.64",,"137.32",,"13.62","13.92","10.73","22.74","15.96","133.08","21.49","15.14","14.67","12.48",,"115.97","23","17","18","27","24",,,"4107","3822","Q1053","06 Tier",3.48
1308,"CPRCMUS-04241","09F","09F","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,80.14,"50.22","62.46","83.31","32.63",43.06,68.64,49.80,"129.24","15.05","15.44","24.72","14.77","128.09","9.88","10.96","13.58","11.13","143.33","152.62","150.76","13.99","14.32","11.63","24.57","18.85","144.28","24.34","17.6","16.26","12.49",,"134.74","29","24","23","35","32","TF","TF","3925","4025","Q1053","07 Tier",8.32
1309,"CPRCMUS-04248","56O","56O","F",3,2,2,1,3,3,1,1,1,"1","1",1,1,1,1,73.59,"53.4","62.65","81.02","36.11",46.45,56.42,37.87,"122.25","12.61","14.36",,,"116.92","9.63","11.16","13.83","10.4",,"143.27",,"13.52","13.55","10.11","23.93","17.3","137.02","22.97","16.14","14.89","12.77",,"114.04","26","20","20","30","29","TF","TF",,,"Q1056","07 Tier",3.59
1310,"CPRCMUS-04251","AG17","i02V76 (prob wt CS ID)","F",2,1,2,1,1,1,1,1,1,"1","1",1,1,1,1,59.71,"47.04","57.11","70.09","24.07",33.43,43.87,31.28,,,,,,,,,,,,"107.85",,"11.57","11.55","9.47","17.79","12.06",,,,,,,,"18","15","15","22","21","TF","TF",,,"Q1053","07 Tier",1.97
1311,"CPRCMUS-04252","AG35","i02L97","M",3,2,3,1,1,1,1,1,1,"1","1",1,1,1,1,67.21,"48.57","60.46","77.81","32.35",41.31,51.49,35.64,,,,,,"99.34","8.74","9.5","11.84","8.53",,"118.62",,"12.4","12.47","9.55","20.85","15.06","118.08","20.7","13.38","13.88","11.59",,,"22","17","16","27","24","SP",,,,"Q1083","06 Tier",2.60
1312,"CPRCMUS-04253","A94","A94","F",4,4,4,0,0,0,0,0,0,"0","0",0,0,0,0,90.86,"55.63","62.6","89.99","45.34",53.92,76.62,63.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TF",,,,"Q1071","07 Tier",25.75
1314,"CPRCMUS-04266","L39","L39","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,87.89,,"62.69","84.84","45.24",51.90,70.20,58.37,"141.14","16.69","17.88","27.01","15.92","134.82","11.05","12.83","15.16","11.97","152.99","170.93","167.66","15.43","15.41","13.68","27.76","22.23","155.98","27.69","20.3","16.82","13.63",,"149.66","32","25","27","37","36","TF","TF","3733","3873","Q1066","04 Tier",18.82
1315,"CPRCMUS-04267","Z88","Z88","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,96.22,"55.13","68.61","92.39","51.75",56.75,83.77,68.69,"159.12","19.74","21.46","30.96","20.37","157.1","12.43","14","17.87","14.39","178.24","193.52","188.4","18.69","18.63",,"31.79","25.49","178.99","30.85","24.59","19.54","16.88",,"167.83","43","31","32","46","44","TF","TF","3972","4291","Q1012","06 Tier",11.45
1317,"CPRCMUS-04276","21I","21I","M",3,3,3,1,3,3,3,3,1,"3","1",3,1,1,3,93.17,"59.49","70.11","94.27","45.45",54.92,79.85,63.57,"156.01","16.69","19.59","29.51","19.17","156.69","12.28","13.68","17.3","14.14","178.55","194.55","189.66","17.46","17.81","13.45","31.09","24.98","179.15","29.44","24.44","18.9","15.95",,"157.42","40","32","31","45","40","TF","TF","4234","3998","Q1012","07 Tier",5.99
1320,"CPRCMUS-04289","31D","31D","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,85.24,"51.22","63.17","83.13","44.39",52.41,72.03,52.38,"143.33","16.3","17.46","27.48","16.09","141.4","10.86","12.4","14.96","12.16","158.29","168.29","164.11","15.05","15.29","11.69","27.97","22.08","149.39","27.46","19.75","16.75","13.17",,"149.85","35","25","29","40","34","TF","TF",,,"Q1012","07 Tier",8.58
1321,"CPRCMUS-04291","O49","O49","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,92.57,,"67.62","90.73","48.96",60.67,80.49,62.51,"149.15","18.71","20.66","29.18","18.34","156.71","12.16","13.25","17.38","13.86","177.61","181.99","178.39","17.91","17.59","14.96","30.27","24.15","171.01","29.95","23.18","18.99","16.62",,"157.93","40","30","29","44","41",,,,,"Q1021","06 Tier",15.85
1322,"CPRCMUS-04292","J74","J74","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,82.38,,"61.96","88.72","41.61",51.36,61.51,43.23,"141.61","15.14","16.88","24.94","16.35","140.08","11.25","12.34","14.77","12.57","155.18","169.08","165.96","15.33","15.35","13.06","26.74","20.36","157.13","26.39","21.13","17.4","14.99",,"149.73","34","27","25","39","36","SP","SP","3712","4105","Q1083","05 Tier",17.49
1323,"CPRCMUS-04300","84F","84F","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,92.66,"56.09","67.04","87.47","45.09",53.22,79.12,58.83,"158.5","17.31","19.77","29.54","18.03","154.18","11.61","13.57","16.54","13.28","173.59","190.02","185.18","16.7","16.81","13.76","29.6","24.83","172.29","28.93","22.52","18.89","16.2",,"156.14","38","29","30","43","40","TF","TF","4252","4078","Q1083","05 Tier",9.74
1324,"CPRCMUS-04301","79N","79N","M",3,3,3,1,3,3,3,3,1,"3","1",3,2,2,3,91.21,"57.54","64.74","94.29","42.57",57.37,78.55,57.82,"151.66","17.42","18.79","28.36","17.52","148.16","11.75","12.74","16.08","13.26","168.14","182.67","178.09","16.44","16.82","13.64","29.73","22.93","171.53","28.11","22.54","18.19","15.65",,"152.74","34","28","26","40","37","SP","TF","4115","3982","Q1083","08 Tier",6.48
1325,"CPRCMUS-04306","33A","33A","M",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,96.97,"58.49","67.55","97.23","53.45",57.41,81.55,64.74,"167.16","19.49","22.48","32.15","21.51","154.7","13.3","14.09","17.43","15.38","176.49","194.09","189.51","18.82","18.9","15.2","33.28","26.37","175.02","31.78","25.46","20.55","16.58",,"169.1","44","34","31","51","44","TF",,"4155","3988","Q1083","06 Tier",10.52
1326,"CPRCMUS-04310","H45","H45","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,88.26,,"62.46","85.59","48.21",52.48,72.85,54.62,"143.15","16.38","17.98","25.32","17.07","142.61","11.27","12.4","16.23","12.44","158.2","167.9","165.23","15.23","15.46","13.1","27.72","22.54","154.83","27.11","20.45","17.93","14.14",,"141.43","36","27","28","39","38","TF","TF",,,"Q1012","06 Tier",20.94
1328,"CPRCMUS-04313","X20","X20","F",3,4,3,3,3,3,3,3,3,"3","3",3,3,3,3,,"54.76","64.24","83.26","45.36",46.49,74.15,50.05,"144.82","16.12","18.16","29.92","17.66","143.09","11.85","13.01","15.85","12.73","158.8","169.38","165.49","16.27","16.54","12.96","28.81","23.13","160.76","27.96","22.08","17.36","14.8",,"150.67","38","28","27","41","40","Epi","TF","4000","3891","Q1056","05 Tier",14.89
1329,"CPRCMUS-04314","23H","23H","M",3,3,3,2,3,3,3,3,2,"3","2",3,3,3,3,93.32,"53.81","65.34","92.44","45.65",53.42,81.73,59.54,"158.8","16.61","19.63","29.82","17.27","155.42","11.75","13.11","16.39","13.13","175.67","191.63","187.55","15.63","15.78","13.42","28.96","23.44","171.36","28.86","22.35","17.66","14.96",,"155.86","38","27","28","41","40","TF","TF","4330","4013","Q1021","07 Tier",7.63
1330,"CPRCMUS-04315","T52","T52","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,99.72,"55.63","69.46","92.92","44.45",61.67,84.88,69.42,"153.78","18.28","19.6","31.56","19.21","152.26","12.71","14.7","18.49","14.66","171.79","187.32","183.77","18.31","18.34","15.05","32.28","24.99","173.27","32.83","25.12","21.5","17.5","102.75","163.9","43","32","32","44","43","TF","TF","4227","4079","Q1083","06 Tier",15.87
1331,"CPRCMUS-04316","B60","B60","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,91.05,"55.21","63.29","90.01","47.04",57.41,76.88,56.95,"144.61","15.13","17.13","26.69","17.3","143.16","11.31","12.17","15.38","13.08","161.35","169.58","166.94","14.62","14.63","11.82","28.15","21.6","159.13","28.11","21.1","18.57","14.64",,"153.68","35","29","25","39","35","ZT","TF",,,"Q1012","05 Tier",23.39
1332,"CPRCMUS-04317","I06","I06","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,96.36,"59.33","68.41","93.47","51.33",57.63,81.50,69.30,"153.85","17.47","18.54","29.8","17.69","150.06","11.68","13.02","16.93","15.12","169.85","187.15","181.71","16.49","16.38",,"29.54","22.81","162.87","29.68","22.57","20.45","15.24","100.07","155.2","37","28","26","41","38",,,,,"Q1021","06 Tier",21.85
1333,"CPRCMUS-04318","O53","O53","F",4,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,89.36,,"65.71","89.84","32.83",47.29,72.08,63.28,"143.98","18.37","18.45","27.07","18.56","134.63","12.83","12.99","15.9","13.02","151.43","166.04","Na","16.6","16.53","14.93","30.24","23.46","151.64","32.78","22.81","20.11","15.81",,"157.13","40","27","29","40","38","NA",,"4139","4168",,,17.51
1334,"CPRCMUS-04321","13C","13C","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,82.20,"56.11","60.82","86.18","36.16",46.85,69.54,51.45,"137.04","15.49","16.82","24.95","14.8","136.19","10.71","11.75","14.39","11.01","151.94","166.01","163.42","14.3","14.76","11.53","24.92","19.84","154.33","25.11","18.89","16.22","13.39",,"141.32","31","24","24","36","33","TF","TF","4108","4255","Q1053","06 Tier",9.96
1335,"CPRCMUS-04323","G26","G26","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,101.06,"56.87","66.39","92.82","47.74",57.39,88.22,60.27,"161.06","19.4","20.84","31","19.18","158.92","13.23","14.33","18.53","14.44","180.23","194.09","186.88","17.71","17.83",,"33.59","25.43","179.84","30.09","24.62","22.13","18.78","104.63","171.5","43","34","31","47","40",,,,,"Q1012","06 Tier",22.67
1336,"CPRCMUS-04324","O96 (was UNK-821)","O96","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,81.64,"52.67","61.02","82.54","44.07",52.48,69.95,57.00,"135.5","15.49","17.05","24.33","15.19","128.02","10.4","11.97","14.94","11.75","143.18","158.79","156.17","14.93","14.9","12.38","26.24","21.39","146.4","26.08","19.88","16.85","13.22",,"141.22","36","27","25","36","34","TF","TF",,,"Q1012","07 Tier",16.47
1337,"CPRCMUS-04327","D71","D71","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,99.30,"59.4","66.71","92.98","51.26",56.15,83.53,53.99,"166.44","19.3","21.59","30.93","20.59","162.54","12.92","14.53","17.92","15.7","182.34","201.29","198.02","19.77","19.08","16.79","33.29","26.77","180.79","33.37","24.78","20.34","17.24","107.06","171.95","45","35","34","48","48",,,,,"Q1083","04 Tier",22.38
1338,"CPRCMUS-04328","J99","J99","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,87.96,"55.6","62.94","91.63","46.35",55.20,74.33,57.86,"133.48","15.37","17.16","26.68","17.76","130.67","10.83","12.71","16.18","12.12","148.71","161.45","157.23","15.32","15.24","14.02","28.08","21.48","151.27","26.76","21.11","18.53","14.53",,"148.65","37","29","29","40","37","TF","TF",,,"Q1012","06 Tier",18.81
1339,"CPRCMUS-04329","94B","94B","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,84.57,"55.02","62.13","88.64","51.4",51.85,72.02,51.05,"143.67","16.96","18.2","25.94","16.42","141.65","10.86","12.46","15.45","12.78","157.45","171.18","169.7","16.08","16.04","12.37","28.79","23.02","157.14","27.82","20.48","17.35","14.5",,"146.45","34","31","26","42","37","TF","TF","3920",,"Q1083","07 Tier",10.87
1340,"CPRCMUS-04330","50D & Fetus","50D","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,84.13,"54.11","61.9","86.91","43.55",48.91,71.05,53.81,"144.76","15.14","17.95","25.83","15.55","140.36","10.18","11.32","15.09","11.85","157.3","171.42","167.62","15.23","15.53","12.77","27.15","21.24","159.82","26.28","19.58","16.88","13.87",,"145.31","37","27","26","41","35","TF","TF",,,"Q1083","05 Tier",8.83
1341,"CPRCMUS-04332","03G","03G","M",3,2,3,1,3,0,0,3,1,"3","1",2,1,2,2,92.61,"56.28","63.19","86.41","35.37",49.04,75.75,54.20,"151.21","18.47","19.62","27.82","16.19","155.58","11.37","11.55","16.48","13.88","173.42","194.85","Na","15.38","15.57","12.56","29.29","23.98","177.3","27.95","22.57","18.19","15.46",,"157.76","41","30","30","41","42","TF","X","4254","4164",,,6.60
1343,"CPRCMUS-04334","13S","13S","M",3,2,2,1,2,0,0,1,1,"1","1",1,1,1,1,81.72,"54.36","63.3","87.16","35.32",41.05,64.38,43.64,"138.92","17.18","18.11","27.34","17.04","137.5","11.92","11.49","15.14","12.09","157.89","167.11","Na","15.88","16.18","12.15","28.39","22.38","159.05","26.7","20.11","18.65","15.01",,"133.91","31","21","25","34","33","TF",,"4054","4031",,,3.66
1344,"CPRCMUS-04335","85H","85H","M",3,3,3,1,3,3,3,2,1,"2","1",2,1,1,1,88.31,"52.74","66.85","88.9","49.42",48.97,74.30,58.56,"150.25","17.85","19.64","30.04","18.14",,,,,,,"185.37","180.92","16.72","16.8","13.81","29.33","22.75","171.06","28.63","22.98","18.72","15.47",,"145.24","37","27","27","40","37","TF","TF","4090","4007","Q1083","06 Tier",5.84
1345,"CPRCMUS-04336","93A","93A","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,86.56,"54.73","64.17","87.02","46.05",51.20,72.72,52.23,"145.5","16.13","17.68","26.94","16.82","142.78","10.65","11.8","14.9","11.77","159.84","176.16","173.47","15.44","15.61","12.59","26.62","22.27","162.78","25.99","19.75","17.59","14.56",,"150.9","35","26","25","39","36","SP","SP",,,"Q1083","05 Tier",12.68
1347,"CPRCMUS-04339","75S","75S","M",2,2,2,1,1,1,1,1,1,"1","1",1,1,1,1,68.57,"54.4","60.07","79.95","33.95",43.88,53.58,36.72,,,,,,"102.35","8.99","9.78","13.97","9.62",,"121.27",,"13.54","14.13","10.7","23.19","14.99","119.34","22.18","14.44","15.43","12.71",,,"24","19","19","27","24","TF","TF",,"3805","Q1021","08 Tier",2.31
1348,"CPRCMUS-04340","X11","X11","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,81.95,"53.31","62.63","85.58","42.36",51.30,73.02,51.88,"134.03","16.2","17.35","26.23","15.11","128.92","10.17","11.41","14.1","11.88","145.99","159.62","155.12","15.33","15.43","13.06","26.99","20.25","151.55","26.04","19.97","16.74","14.18",,"142.02","32","26","24","36","33","TF","TF",,,"Q1012","07 Tier",13.38
1349,"CPRCMUS-04341","47K","47K","F",3,3,3,1,3,3,3,3,1,"3","1",3,1,1,1,78.13,"52.58","60.55","79.33","40.88",45.32,61.98,45.26,"139.13","14.98","15.98","22.91","14.96","136.53","9.85","11.17","14.08","10.04","151.36","166.06","161.87","14.43","14.53","12.31","25.6","19.54","157.51","24.84","17.85","14.94","13.31",,"138.6","29","23","22","34","31","TF","TF",,"3821","Q1012","07 Tier",5.53
1350,"CPRCMUS-04342","46B","46B","F",3,4,3,3,3,3,3,3,3,"3","3",3,3,3,3,80.28,"53.46","62.36","80.68","41",48.00,66.51,48.00,"138.11","14.48","16.08","25.2","14.9","138.29","10.44","11.83","13.59","11.35","155.77","167.59","163.96","14.44","14.72",,"26.08","20.52","153.31","25.3","19.74","15.98","13.46",,"146.04","34","25","23","37","33","TF","TF",,,"Q1083","06 Tier",10.65
1351,"CPRCMUS-04343","28E","28E","M",3,3,3,2,3,3,3,3,3,"3","3",3,3,3,3,91.19,"56.06","64.25","95.62","41.82",50.77,82.59,60.51,"139.75","17.27","18.32","28.58","17.7","140.49","11.61","12.88","15.79","12.2","159.3","172.41","168.42","15.9","15.96","12.63","28.26","22.18","157","27.95","21.59","17.78","14.72",,"150.51","37","28","27","39","38","TF","TF",,,"Q1071","08 Tier",8.74
1352,"CPRCMUS-04379","78A INF 2005","i0578A","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Q1053","08 Tier",0.85
1356,"CPRCMUS-04396","72F","72F","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,87.15,"58.88","64.74","90.29","44.46",52.07,69.98,52.00,"139.53","16.25","17.03","24.42","14.97","134.19","10.69","12.06","15","12.16","150.15","167.4","163.37","14.85","14.72","12.56","26.65","21.02","157.02","26.61","19.8","16.55","13.8",,"151.03","34","27","25","39","34","SP","SP",,"4024","Q1083","06 Tier",10.41
1358,"CPRCMUS-04398","25V","25V","M",2,1,1,1,1,1,1,1,1,"1","1",1,1,1,1,70.23,"52.85","61.92","81.32","31.42",41.10,55.41,39.13,,,,,,,,,,,,"130.61",,"14.7","14.77","11.38","23.79","16.93","128.96","22.08","15.92","14.33","13.93",,,"28","19","20","31","27","TF","TF","4183","3942","Q1056","08 Tier",2.34
1359,"CPRCMUS-04399","71R","71R","F",3,3,3,1,3,3,3,1,1,"2","1",2,1,1,1,75.32,"50.38","60.15","76.79","40.23",46.78,61.55,44.14,"129.98","14.11","16.3","24.62","14.62","129.78","10.41","11.31","13.38","10.89","146.3","154.13","152.04","13.46","13.56","11.12","24.54","19.03","146.23","23.73","17.94","14.99","12.62",,"131.59","27","21","19","30","27","ZT","ZT",,,"Q1012","07 Tier",4.29
1360,"CPRCMUS-04400","23S","23S","F",3,2,3,1,3,3,3,3,1,"3","1",2,1,1,1,76.73,"50.13","58.3","81.32","40.35",49.97,60.83,44.25,"135.46","15.83","16.56","25.66","14.71","129.77","10.46","11.63","14.6","11.4","145.85","159.04","157.55","14.31","14.79","12.46","25.81","19.9","148.09","25.64","18.68","16.12","13.42",,"134.27","29","24","21","33","31","TF","TF",,,"Q1012","08 Tier",4.59
1363,"CPRCMUS-04403","23F","23F","F",3,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,81.38,"52.75","60.97","82.74","36.01",39.99,69.18,49.39,"132.01","15.46","16","24.81","13.9","134.87","10.13","10.11","12.46","11.2","153.5","161.67","Na","14.44","14.37","12.77","25.33","20.24","149.68","25.12","17.6","16.44","13.24",,"139.6","33","22","23","33","34","TF",,"3945","4279",,,10.38
1364,"CPRCMUS-04404","51B","51B","F",4,4,3,3,3,3,3,3,3,"3","3",3,3,3,3,83.45,"58.26","65.01","91.07","45.38",46.99,71.25,51.33,"142.89","15.95","17.27","25.83","15.59","140.27","10.52","11.89","14.83","12.27","157.22","169.51","166.39","15.43","15.56","12.41","27.77","21.84","160.39","26.34","20.09","16.11","13.85",,"143.62","34","24","24","38","34","TF","TF",,"4087","Q1083","06 Tier",13.06
1366,"CPRCMUS-04409","81L","81L","F",3,3,3,1,2,0,0,2,1,"1","1",2,1,1,1,71.19,"50.03","59.47","78.46","29.79",37.01,57.33,43.38,"125.93","15.48","15.7","24.36","15.14","124.35","10.84","10.58","13.32","11.4","140.38","148.9","Na","14.48","14.33","11.09","24.59","17.4",,,,,,,,"31","23","23","33",,"TF",,"3990","3997",,,3.97
1367,"CPRCMUS-04414","57V","57V","F",2,2,2,1,2,0,0,1,1,"1","1",1,1,1,1,67.42,"50.4","59.01","79.8","32.14",35.69,50.95,,"110.91","14.87","14.63","21.18","13.84","109.64","9.92","9.64","12.18","9.31","125.09","128.91","Na","13.28","13.75","11.03","22.87","17.72","128.88","22.34","15.98","15.58","13.12",,"108.19","27","17","21","28","28","TF",,"3771","4082",,,2.51
1368,"CPRCMUS-04416","T30","T30","M",4,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,97.05,,"63.6","89.14","43.91",53.41,84.36,60.04,"160.92","19.35","20.44","31.45","19.29","163.13","13.85","14.63","18.82","14.96","180.99","198.47","Na","18.46","18.4","15.38","32.21","25.44","178.76","31.54","24.35","22.05","16.58","99.57","168.84","44","34","32","45","45","NA",,"4093","4277",,,15.89
1369,"CPRCMUS-04417","R74","R74","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,84.36,"53.33","59.79","81.38","35.81",43.27,71.22,51.00,"127.5","15.86","15.97","25.23","16.38","127.6","10.24","11.84","15.2","11.63","141.53","155.98","152.11","14.91","14.87","13.01","27.27","20.77","142.09","26","19.56","16.87","13.98",,"139.92","36","30","24","38","35","TF","TF","3979","4121","Q1053","05 Tier",17.18
1370,"CPRCMUS-04419","76T","76T","F",2,2,2,1,2,0,0,2,1,"1","1",2,1,1,1,71.66,"49.04","58.45","82.33","30.48",37.65,57.75,42.42,"125.47","14.61","15.37","22.98","13.65","125.05","10.46","9.84","12.54","10.73","140.42","145.67","Na","13.59","13.52","11.34","23.54","18.64","140.83","22.46","17.21","16.64","12.9",,"123.62","27","19","20","30","29","SP",,"3978","4062",,,3.47
1372,"CPRCMUS-04421","56S","56S","F",3,2,3,1,2,0,0,1,1,"1","1",1,1,1,1,68.82,"51.94","58.21","76.39","29.59",36.18,53.96,37.35,"123.87","13.61","15.21","23.89","14","125.07","10.77","9.56","14.23","10.57","138.16","148.68","Na","13.16","13.38","10.74","24.89","19.91",,,,,,,,"28","19","21","29",,"SP",,"3913","4161",,,3.55
1373,"CPRCMUS-04423","08N","08N","M",3,3,3,2,3,3,3,3,2,"3","2",3,2,2,3,95.15,"56.77","66.66","90.91","48.24",56.52,81.66,56.34,"156.33","19.46","20.28","31.07","20.16","157.94","12.41","14.12","17.68","13.59","177.08","189.67","186.73","16.89","17.22","13.61","30.91","24.95","178.43","30.24","24.29","19.89","16.12",,"157.09","37","29","27","41","39","TF","TF",,,"Q1021","07 Tier",6.82
1375,"CPRCMUS-04431","25O","25O","F",3,3,3,2,3,0,0,3,2,"3","2",3,3,3,3,80.92,"51.99","64.03","85.01","33.59",43.06,66.62,48.40,"129.04","16.46","16.17","24.98","16.12","121.68","10.52","10.4","14.26","11.21","137.52","148.19","Na","14.32","14.82","11.62","25.69","20.58","133.66","25.55","18.9","16.97","13.51",,"127.59","36","26","28","34","32","TF",,"4302","4196",,,6.86
1376,"CPRCMUS-04435","87N","87N","F",3,3,3,1,3,3,3,2,1,"2","1",2,1,1,1,72.80,"51.84","60.16","82.12","39.32",43.25,58.31,38.49,"123.17","14.45","16.17","22.94","14.6","126.05","9.95","10.83","13.13","10.24","142.6","148.1",,"14.2","14.3","10.92","24.61","18.67","141.07","23.83","18.02","15.5","12.55",,"122.02","26","20","19","30","28","SP","SP",,"3884","Q1083","07 Tier",3.28
1377,"CPRCMUS-04437","Z00","Z00","M",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,100.20,"58.92","69.27","91.34","37.15",56.02,83.86,65.55,"157.39","19.09","20.26","33.02","19.28","155.47","12.4","13.92","16.99","13.89","175.38","194","189.36","16.49","16.83","14.16","29.6","23.58","177.9","30.14","23.08","19.89","15.83",,"165.41","41","34","30","45","42","TF","TF","4283","4285","Q1053","05 Tier",8.70
1378,"CPRCMUS-04438","A71","A71","F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Q1053","04 Tier",22.78
1380,"CPRCMUS-04441","B76","B76","M",4,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,98.64,,"72.2","101.13","44.66",44.75,82.90,57.33,"153.19","20.2","20.71","32.61","19.33","154.56","13.09","12.81","18.41","15.36","168.18","189.41","Na","16.43","17.16","14.9","37.72","26.27","176.17","36.08","27.2","20.74","17.3","102.81","166.66","46","34","29","44","44","NA",,"4567","4283",,,23.00
